 Data_Period = 19980101 -- 20091231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
       Mon        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    200302        0.398512E-05       -0.430464E+01        0.127179E+00       -0.203853E+00        0.536400E+01
    200303        0.249059E-04       -0.207839E+01        0.915161E-01       -0.918478E+01        0.536400E+01
    200304        0.125917E-03        0.279667E+01        0.732000E-01       -0.989851E+01        0.536400E+01
    200305        0.315347E-03        0.915774E+01        0.102677E+00       -0.249855E+00        0.536400E+01
    200306        0.478183E-03        0.142773E+02        0.260900E+00       -0.792843E-02        0.536400E+01
    200307        0.429359E-03        0.170258E+02        0.235129E+00       -0.108726E-01        0.536400E+01
    200308        0.394823E-03        0.182252E+02        0.232290E+00       -0.115766E-01        0.536400E+01
    200309        0.255874E-03        0.141850E+02        0.135433E+00       -0.132361E+00        0.536400E+01
    200310        0.931693E-04        0.930065E+01        0.115258E+00       -0.146741E+02        0.536400E+01
    200311        0.285875E-04        0.279567E+01        0.161733E+00       -0.601017E+01        0.536400E+01
    200312        0.117702E-04        0.109226E+01        0.215903E+00       -0.135300E-01        0.536400E+01
    200401        0.459946E-05       -0.214516E+00        0.227710E+00       -0.116912E-01        0.545400E+01
    200402        0.480604E-05       -0.153414E+01        0.191793E+00       -0.914214E-01        0.545400E+01
    200403        0.293629E-04       -0.541935E-01        0.793871E-01       -0.129871E+01        0.545400E+01
    200404        0.112803E-03        0.222233E+01        0.853667E-01       -0.731248E+00        0.545400E+01
    200405        0.317677E-03        0.738452E+01        0.852258E-01       -0.691047E+00        0.545400E+01
    200406        0.483825E-03        0.128880E+02        0.270333E+00       -0.122824E-01        0.545400E+01
    200407        0.467000E-03        0.169897E+02        0.230097E+00       -0.116174E-01        0.545400E+01
    200408        0.367895E-03        0.156455E+02        0.230968E+00       -0.140627E-01        0.545400E+01
    200409        0.239126E-03        0.151490E+02        0.164100E+00       -0.243063E+00        0.545400E+01
    200410        0.109418E-03        0.962323E+01        0.135290E+00       -0.794805E+01        0.545400E+01
    200411        0.277167E-04        0.446300E+01        0.223967E+00       -0.127047E-01        0.545400E+01
    200412        0.467742E-05        0.807419E+00        0.224710E+00       -0.123532E-01        0.545400E+01
    200501        0.204973E-05       -0.520323E+00        0.224032E+00       -0.123549E-01        0.564200E+01
    200502        0.260863E-05       -0.140964E+01        0.164071E+00       -0.527082E-01        0.564200E+01
    200503        0.148266E-04       -0.152419E+01        0.210903E+00       -0.193059E-01        0.564200E+01
    200504        0.701958E-04        0.370367E+01        0.134600E+00       -0.308392E+00        0.564200E+01
    200505        0.220684E-03        0.881774E+01        0.928065E-01       -0.396930E+00        0.564200E+01
    200506        0.436718E-03        0.150740E+02        0.244267E+00       -0.195642E-01        0.564200E+01
    200507        0.512566E-03        0.176165E+02        0.223161E+00       -0.140372E-01        0.564200E+01
    200508        0.437009E-03        0.166855E+02        0.884516E-01       -0.323429E+01        0.564200E+01
    200509        0.276207E-03        0.147600E+02        0.572333E-01       -0.100318E+03        0.564200E+01
    200510        0.105118E-03        0.967677E+01        0.109258E+00       -0.105337E+02        0.564200E+01
    200511        0.315278E-04        0.453833E+01        0.201567E+00       -0.175620E-01        0.564200E+01
    200512        0.478226E-05        0.111129E+01        0.196774E+00       -0.175811E-01        0.564200E+01
    200601        0.215457E-05        0.111000E+01        0.185839E+00       -0.205116E-01        0.563900E+01
    200602        0.549405E-05        0.795714E+00        0.123000E+00       -0.126751E+00        0.563900E+01
    200603        0.236949E-04        0.560000E+00        0.131742E+00       -0.283212E+00        0.563900E+01
    200604        0.899861E-04        0.479833E+01        0.683667E-01       -0.602437E+02        0.563900E+01
    200605        0.238546E-03        0.101787E+02        0.894516E-01       -0.116556E+01        0.563900E+01
    200606        0.420753E-03        0.150573E+02        0.235033E+00       -0.265903E-01        0.563900E+01
    200607        0.490257E-03        0.187803E+02        0.164065E+00       -0.121737E+00        0.563900E+01
    200608        0.439602E-03        0.186187E+02        0.799677E-01       -0.357284E+02        0.563900E+01
    200609        0.335258E-03        0.150380E+02        0.717667E-01       -0.705593E+02        0.563900E+01
    200610        0.791478E-04        0.876452E+01        0.124968E+00       -0.509195E+02        0.563900E+01
    200611        0.359514E-04        0.390667E+01        0.165867E+00       -0.682038E-01        0.563900E+01
    200612        0.568548E-05        0.932903E+00        0.218161E+00       -0.133765E-01        0.563900E+01
    200701        0.000000E+00       -0.195129E+01        0.191097E+00       -0.191017E-01        0.585600E+01
    200702        0.000000E+00       -0.583321E+01        0.175107E+00       -0.244012E-01        0.585600E+01
    200703        0.000000E+00       -0.914516E+00        0.112806E+00       -0.919829E+00        0.585600E+01
    200704        0.184667E-04        0.224333E+01        0.678000E-01       -0.603139E+02        0.585600E+01
    200705        0.221000E-03        0.105919E+02        0.770000E-01       -0.404122E+02        0.585600E+01
    200706        0.414700E-03        0.164437E+02        0.192933E+00       -0.684265E-01        0.585600E+01
    200707        0.497516E-03        0.192474E+02        0.165774E+00       -0.121504E+00        0.585600E+01
    200708        0.446323E-03        0.184219E+02        0.799677E-01       -0.357284E+02        0.585600E+01
    200709        0.276367E-03        0.149997E+02        0.717667E-01       -0.705593E+02        0.585600E+01
    200710        0.513871E-04        0.104668E+02        0.124968E+00       -0.509195E+02        0.585600E+01
    200711        0.000000E+00        0.837067E+01        0.165867E+00       -0.682038E-01        0.585600E+01
    200712        0.000000E+00        0.605774E+01        0.218161E+00       -0.133765E-01        0.585600E+01
    200801        0.000000E+00        0.442677E+01        0.191097E+00       -0.191017E-01        0.567700E+01
    200802        0.000000E+00        0.115172E+00        0.174586E+00       -0.246444E-01        0.567700E+01
    200803        0.000000E+00       -0.308355E+01        0.155548E+00       -0.343328E+01        0.567700E+01
    200804        0.145000E-04       -0.296400E+01        0.159000E+00       -0.764052E-01        0.567700E+01
    200805        0.211097E-03       -0.222323E+01        0.978710E-01       -0.630811E+00        0.567700E+01
    200806        0.408367E-03        0.266633E+01        0.712000E-01       -0.181182E+02        0.567700E+01
    200807        0.496548E-03        0.876323E+01        0.950968E-01       -0.892017E+00        0.567700E+01
    200808        0.451129E-03        0.170787E+02        0.208000E+00       -0.834586E-01        0.567700E+01
    200809        0.285467E-03        0.200377E+02        0.232267E+00       -0.111168E-01        0.567700E+01
    200810        0.585161E-04        0.179752E+02        0.247839E+00       -0.924116E-02        0.567700E+01
    200811        0.000000E+00        0.147963E+02        0.164100E+00       -0.787172E-01        0.567700E+01
    200812        0.000000E+00        0.593129E+01        0.133742E+00       -0.269437E+00        0.567700E+01
    200901        0.000000E+00        0.163194E+01        0.114839E+00       -0.202738E+02        0.567700E+01
    200902        0.000000E+00       -0.239286E+00        0.217179E+00       -0.135422E-01        0.567700E+01
    200903        0.000000E+00       -0.383613E+01        0.222097E+00       -0.125955E-01        0.567700E+01
    200904        0.860000E-05       -0.448033E+01        0.226700E+00       -0.117774E-01        0.567700E+01
    200905        0.193000E-03       -0.136194E+01        0.104903E+00       -0.732504E+00        0.567700E+01
    200906        0.396867E-03        0.396333E+01        0.836000E-01       -0.971651E+00        0.567700E+01
    200907        0.494323E-03        0.992806E+01        0.808387E-01       -0.974105E+00        0.567700E+01
    200908        0.459677E-03        0.151255E+02        0.211516E+00       -0.137978E+00        0.567700E+01
    200909        0.285467E-03        0.200377E+02        0.232267E+00       -0.111168E-01        0.567700E+01
    200910        0.585161E-04        0.179752E+02        0.247839E+00       -0.924116E-02        0.567700E+01
    200911        0.000000E+00        0.147963E+02        0.164100E+00       -0.787172E-01        0.567700E+01
    200912        0.000000E+00        0.593129E+01        0.133742E+00       -0.269437E+00        0.567700E+01
